KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 1:2	And the earth was without form, and void; and darkness [was] upon the face of the deep. And the Spirit of God moved upon the face of the waters.
Genesis 1:3	And God said, Let there be light: and there was light.
Genesis 1:4	And God saw the light, that [it was] good: and God divided the light from the darkness.
Genesis 1:5	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.
Genesis 1:6	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
Genesis 1:7	And God made the firmament, and divided the waters which [were] under the firmament from the waters which [were] above the firmament: and it was so.
Genesis 1:8	And God called the firmament Heaven. And the evening and the morning were the second day.
Genesis 1:9	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry [land] appear: and it was so.
Numbers 1:1	And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first [day] of the second month, in the second year after they were come out of the land of Egypt, saying,
Numbers 1:2	Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of [their] names, every male by their polls;
Numbers 1:3	From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.
Numbers 1:4	And with you there shall be a man of every tribe; every one head of the house of his fathers.
Numbers 1:5	And these [are] the names of the men that shall stand with you: of [the tribe of] Reuben; Elizur the son of Shedeur.
Numbers 1:6	Of Simeon; Shelumiel the son of Zurishaddai.
Numbers 1:7	Of Judah; Nahshon the son of Amminadab.
Numbers 1:8	Of Issachar; Nethaneel the son of Zuar.
Numbers 2:1	And the LORD spake unto Moses and unto Aaron, saying,
Numbers 2:2	Every man of the children of Israel shall pitch by his own standard, with the ensign of their father’s house: far off about the tabernacle of the congregation shall they pitch.
Numbers 2:3	And on the east side toward the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies: and Nahshon the son of Amminadab [shall be] captain of the children of Judah.
Numbers 2:4	And his host, and those that were numbered of them, [were] threescore and fourteen thousand and six hundred.
Numbers 2:5	And those that do pitch next unto him [shall be] the tribe of Issachar: and Nethaneel the son of Zuar [shall be] captain of the children of Issachar.
Numbers 2:6	And his host, and those that were numbered thereof, [were] fifty and four thousand and four hundred.
Numbers 2:7	[Then] the tribe of Zebulun: and Eliab the son of Helon [shall be] captain of the children of Zebulun.
Numbers 3:1	These also [are] the generations of Aaron and Moses in the day [that] the LORD spake with Moses in mount Sinai.
Numbers 3:2	And these [are] the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar.
Numbers 3:3	These [are] the names of the sons of Aaron, the priests which were anointed, whom he consecrated to minister in the priest’s office.
Numbers 3:4	And Nadab and Abihu died before the LORD, when they offered strange fire before the LORD, in the wilderness of Sinai, and they had no children: and Eleazar and Ithamar ministered in the priest’s office in the sight of Aaron their father.
Numbers 3:5	And the LORD spake unto Moses, saying,
Numbers 3:6	Bring the tribe of Levi near, and present them before Aaron the priest, that they may minister unto him.
Numbers 3:7	And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle.
Numbers 3:8	And they shall keep all the instruments of the tabernacle of the congregation, and the charge of the children of Israel, to do the service of the tabernacle.
Numbers 3:9	And thou shalt give the Levites unto Aaron and to his sons: they [are] wholly given unto him out of the children of Israel.
Numbers 3:10	And thou shalt appoint Aaron and his sons, and they shall wait on their priest’s office: and the stranger that cometh nigh shall be put to death.
Numbers 3:11	And the LORD spake unto Moses, saying,
1 Samuel 1:1	Now there was a certain man of Ramathaimzophim, of mount Ephraim, and his name [was] Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephrathite:
1 Samuel 1:2	And he had two wives; the name of the one [was] Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children.
1 Samuel 1:3	And this man went up out of his city yearly to worship and to sacrifice unto the LORD of hosts in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the LORD, [were] there.
1 Samuel 1:4	And when the time was that Elkanah offered, he gave to Peninnah his wife, and to all her sons and her daughters, portions:
1 Samuel 1:5	But unto Hannah he gave a worthy portion; for he loved Hannah: but the LORD had shut up her womb.
1 Samuel 1:6	And her adversary also provoked her sore, for to make her fret, because the LORD had shut up her womb.
1 Samuel 1:7	And [as] he did so year by year, when she went up to the house of the LORD, so she provoked her; therefore she wept, and did not eat.
1 Samuel 1:8	Then said Elkanah her husband to her, Hannah, why weepest thou? and why eatest thou not? and why is thy heart grieved? [am] not I better to thee than ten sons?
1 Samuel 1:9	So Hannah rose up after they had eaten in Shiloh, and after they had drunk. Now Eli the priest sat upon a seat by a post of the temple of the LORD.
1 Samuel 1:10	And she [was] in bitterness of soul, and prayed unto the LORD, and wept sore.
2 Samuel 1:1	Now it came to pass after the death of Saul, when David was returned from the slaughter of the Amalekites, and David had abode two days in Ziklag;
2 Samuel 1:2	It came even to pass on the third day, that, behold, a man came out of the camp from Saul with his clothes rent, and earth upon his head: and [so] it was, when he came to David, that he fell to the earth, and did obeisance.
2 Samuel 1:3	And David said unto him, From whence comest thou? And he said unto him, Out of the camp of Israel am I escaped.
2 Samuel 1:4	And David said unto him, How went the matter? I pray thee, tell me. And he answered, That the people are fled from the battle, and many of the people also are fallen and dead; and Saul and Jonathan his son are dead also.
2 Samuel 1:5	And David said unto the young man that told him, How knowest thou that Saul and Jonathan his son be dead?
2 Samuel 1:6	And the young man that told him said, As I happened by chance upon mount Gilboa, behold, Saul leaned upon his spear; and, lo, the chariots and horsemen followed hard after him.
2 Samuel 1:7	And when he looked behind him, he saw me, and called unto me. And I answered, Here [am] I.
2 Samuel 1:8	And he said unto me, Who [art] thou? And I answered him, I [am] an Amalekite.
Psalm 1:1	Blessed [is] the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.
Psalm 1:2	But his delight [is] in the law of the LORD; and in his law doth he meditate day and night.
Psalm 1:3	And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.
Psalm 1:4	The ungodly [are] not so: but [are] like the chaff which the wind driveth away.
Psalm 1:5	Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.
Psalm 1:6	For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.
Psalm 2:1	Why do the heathen rage, and the people imagine a vain thing?
Psalm 2:2	The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, [saying],
Psalm 2:3	Let us break their bands asunder, and cast away their cords from us.
Psalm 2:4	He that sitteth in the heavens shall laugh: the Lord shall have them in derision.
Psalm 2:5	Then shall he speak unto them in his wrath, and vex them in his sore displeasure.
Psalm 2:6	Yet have I set my king upon my holy hill of Zion.
Psalm 2:7	I will declare the decree: the LORD hath said unto me, Thou [art] my Son; this day have I begotten thee.
Psalm 2:8	Ask of me, and I shall give [thee] the heathen [for] thine inheritance, and the uttermost parts of the earth [for] thy possession.
Psalm 2:9	Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter’s vessel.
Psalm 2:10	Be wise now therefore, O ye kings: be instructed, ye judges of the earth.
Psalm 2:11	Serve the LORD with fear, and rejoice with trembling.
