KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 1:2	And the earth was without form, and void; and darkness [was] upon the face of the deep. And the Spirit of God moved upon the face of the waters.
Genesis 1:3	And God said, Let there be light: and there was light.
Genesis 1:4	And God saw the light, that [it was] good: and God divided the light from the darkness.
Genesis 1:5	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.
Genesis 1:6	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
Genesis 1:7	And God made the firmament, and divided the waters which [were] under the firmament from the waters which [were] above the firmament: and it was so.
Genesis 1:8	And God called the firmament Heaven. And the evening and the morning were the second day.
Genesis 1:9	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry [land] appear: and it was so.
Numbers 1:1	And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first [day] of the second month, in the second year after they were come out of the land of Egypt, saying,
Numbers 1:2	Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of [their] names, every male by their polls;
Numbers 1:3	From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.
Numbers 1:4	And with you there shall be a man of every tribe; every one head of the house of his fathers.
Numbers 1:5	And these [are] the names of the men that shall stand with you: of [the tribe of] Reuben; Elizur the son of Shedeur.
Numbers 1:6	Of Simeon; Shelumiel the son of Zurishaddai.
Numbers 1:7	Of Judah; Nahshon the son of Amminadab.
Numbers 1:8	Of Issachar; Nethaneel the son of Zuar.
Numbers 2:1	And the LORD spake unto Moses and unto Aaron, saying,
Numbers 2:2	Every man of the children of Israel shall pitch by his own standard, with the ensign of their father’s house: far off about the tabernacle of the congregation shall they pitch.
Numbers 2:3	And on the east side toward the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies: and Nahshon the son of Amminadab [shall be] captain of the children of Judah.
Numbers 2:4	And his host, and those that were numbered of them, [were] threescore and fourteen thousand and six hundred.
Numbers 2:5	And those that do pitch next unto him [shall be] the tribe of Issachar: and Nethaneel the son of Zuar [shall be] captain of the children of Issachar.
Numbers 2:6	And his host, and those that were numbered thereof, [were] fifty and four thousand and four hundred.
Numbers 2:7	[Then] the tribe of Zebulun: and Eliab the son of Helon [shall be] captain of the children of Zebulun.
Numbers 3:1	These also [are] the generations of Aaron and Moses in the day [that] the LORD spake with Moses in mount Sinai.
Numbers 3:2	And these [are] the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar.
Numbers 3:3	These [are] the names of the sons of Aaron, the priests which were anointed, whom he consecrated to minister in the priest’s office.
Numbers 3:4	And Nadab and Abihu died before the LORD, when they offered strange fire before the LORD, in the wilderness of Sinai, and they had no children: and Eleazar and Ithamar ministered in the priest’s office in the sight of Aaron their father.
Numbers 3:5	And the LORD spake unto Moses, saying,
Numbers 3:6	Bring the tribe of Levi near, and present them before Aaron the priest, that they may minister unto him.
Numbers 3:7	And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle.
Numbers 3:8	And they shall keep all the instruments of the tabernacle of the congregation, and the charge of the children of Israel, to do the service of the tabernacle.
Numbers 3:9	And thou shalt give the Levites unto Aaron and to his sons: they [are] wholly given unto him out of the children of Israel.
Numbers 3:10	And thou shalt appoint Aaron and his sons, and they shall wait on their priest’s office: and the stranger that cometh nigh shall be put to death.
Numbers 3:11	And the LORD spake unto Moses, saying,
Jeremiah 1:1	The words of Jeremiah the son of Hilkiah, of the priests that [were] in Anathoth in the land of Benjamin:
Jeremiah 1:2	To whom the word of the LORD came in the days of Josiah the son of Amon king of Judah, in the thirteenth year of his reign.
Jeremiah 1:3	It came also in the days of Jehoiakim the son of Josiah king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah king of Judah, unto the carrying away of Jerusalem captive in the fifth month.
Jeremiah 1:4	Then the word of the LORD came unto me, saying,
Jeremiah 1:5	Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, [and] I ordained thee a prophet unto the nations.
Jeremiah 1:6	Then said I, Ah, Lord GOD! behold, I cannot speak: for I [am] a child.
Jeremiah 1:7	But the LORD said unto me, Say not, I [am] a child: for thou shalt go to all that I shall send thee, and whatsoever I command thee thou shalt speak.
Jeremiah 1:8	Be not afraid of their faces: for I [am] with thee to deliver thee, saith the LORD.
Jeremiah 2:1	Moreover the word of the LORD came to me, saying,
Jeremiah 2:2	Go and cry in the ears of Jerusalem, saying, Thus saith the LORD; I remember thee, the kindness of thy youth, the love of thine espousals, when thou wentest after me in the wilderness, in a land [that was] not sown.
Jeremiah 2:3	Israel [was] holiness unto the LORD, [and] the firstfruits of his increase: all that devour him shall offend; evil shall come upon them, saith the LORD.
Jeremiah 2:4	Hear ye the word of the LORD, O house of Jacob, and all the families of the house of Israel:
Jeremiah 2:5	Thus saith the LORD, What iniquity have your fathers found in me, that they are gone far from me, and have walked after vanity, and are become vain?
Jeremiah 2:6	Neither said they, Where [is] the LORD that brought us up out of the land of Egypt, that led us through the wilderness, through a land of deserts and of pits, through a land of drought, and of the shadow of death, through a land that no man passed through, and where no man dwelt?
Jeremiah 2:7	And I brought you into a plentiful country, to eat the fruit thereof and the goodness thereof; but when ye entered, ye defiled my land, and made mine heritage an abomination.
Jeremiah 2:8	The priests said not, Where [is] the LORD? and they that handle the law knew me not: the pastors also transgressed against me, and the prophets prophesied by Baal, and walked after [things that] do not profit.
Jeremiah 2:9	Wherefore I will yet plead with you, saith the LORD, and with your children’s children will I plead.
Malachi 1:1	The burden of the word of the LORD to Israel by Malachi.
Malachi 1:2	I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? [Was] not Esau Jacob’s brother? saith the LORD: yet I loved Jacob,
Malachi 1:3	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.
Malachi 1:4	Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.
Malachi 1:5	And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel.
Malachi 1:6	A son honoureth [his] father, and a servant his master: if then I [be] a father, where [is] mine honour? and if I [be] a master, where [is] my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?
Malachi 1:7	Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD [is] contemptible.
Malachi 1:8	And if ye offer the blind for sacrifice, [is it] not evil? and if ye offer the lame and sick, [is it] not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts.
Malachi 1:9	And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts.
Malachi 1:10	Who [is there] even among you that would shut the doors [for nought]? neither do ye kindle [fire] on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.
Malachi 1:11	For from the rising of the sun even unto the going down of the same my name [shall be] great among the Gentiles; and in every place incense [shall be] offered unto my name, and a pure offering: for my name [shall be] great among the heathen, saith the LORD of hosts.
